@relation 'travel-weka.filters.unsupervised.attribute.Remove-R3-4,7-weka.filters.unsupervised.attribute.Remove-R1,7'

@attribute HolidayType {Bathing,Active,Education,City,Recreation,Wandering,Language,Skiing}
@attribute Region {Egypt,Cairo,Belgium,Bulgaria,Bornholm,Fano,Lolland,Allgaeu,Alps,Bavaria,ErzGebirge,Harz,NorthSea,BalticSea,BlackForest,Thuringia,Atlantic,CotedAzur,Corsica,Normandy,Brittany,Attica,Chalkidiki,Corfu,Crete,Rhodes,England,Ireland,Scotland,Wales,Holland,AdriaticSea,LakeGarda,Riviera,Tyrol,Malta,Carinthia,SalzbergerLand,Styria,Algarve,Madeira,Sweden,CostaBlanca,CostaBrava,Fuerteventura,GranCanaria,Ibiza,Mallorca,Teneriffe,GiantMountains,TurkishAegeanSea,TurkishRiviera,Tunisia,Balaton,Denmark,Poland,Slowakei,Czechia,France}
@attribute Transportation {Plane,Car,Train,Coach}
@attribute Season {April,May,June,July,September,October,August,November,December,February,March,January}
@attribute Accommodation {TwoStars,ThreeStars,FourStars,FiveStars,HolidayFlat,OneStar}

@data
Bathing,Egypt,Plane,April,TwoStars
Bathing,Egypt,Plane,May,TwoStars
Active,Egypt,Plane,June,TwoStars
Bathing,Egypt,Plane,July,ThreeStars
Bathing,Egypt,Plane,September,ThreeStars
Active,Egypt,Plane,October,ThreeStars
Bathing,Egypt,Plane,June,FourStars
Active,Egypt,Plane,July,FourStars
Education,Egypt,Plane,April,FourStars
Education,Egypt,Plane,October,FourStars
City,Cairo,Plane,April,ThreeStars
City,Cairo,Plane,May,ThreeStars
City,Cairo,Plane,June,ThreeStars
City,Cairo,Plane,September,ThreeStars
City,Cairo,Plane,October,ThreeStars
City,Cairo,Plane,April,ThreeStars
City,Cairo,Plane,May,ThreeStars
City,Cairo,Plane,July,ThreeStars
City,Cairo,Plane,May,FiveStars
City,Cairo,Plane,August,FiveStars
Recreation,Belgium,Car,May,TwoStars
Active,Belgium,Car,June,TwoStars
Recreation,Belgium,Car,July,ThreeStars
Recreation,Belgium,Car,August,ThreeStars
Active,Belgium,Car,September,HolidayFlat
Recreation,Belgium,Car,June,HolidayFlat
Recreation,Belgium,Car,July,HolidayFlat
Bathing,Belgium,Car,August,HolidayFlat
Bathing,Belgium,Car,September,HolidayFlat
Recreation,Belgium,Train,July,ThreeStars
Bathing,Bulgaria,Plane,June,TwoStars
Bathing,Bulgaria,Plane,July,TwoStars
Bathing,Bulgaria,Plane,August,TwoStars
Bathing,Bulgaria,Plane,July,ThreeStars
Active,Bulgaria,Plane,June,ThreeStars
Bathing,Bulgaria,Plane,August,ThreeStars
Bathing,Bulgaria,Plane,August,ThreeStars
Active,Bulgaria,Plane,July,FourStars
Bathing,Bulgaria,Plane,September,FourStars
Bathing,Bornholm,Car,August,HolidayFlat
Bathing,Bornholm,Car,July,HolidayFlat
Bathing,Bornholm,Car,July,HolidayFlat
Recreation,Bornholm,Car,April,HolidayFlat
Recreation,Bornholm,Car,May,HolidayFlat
Recreation,Bornholm,Car,September,HolidayFlat
Bathing,Fano,Car,July,HolidayFlat
Bathing,Fano,Car,August,HolidayFlat
Recreation,Fano,Car,September,HolidayFlat
Recreation,Fano,Car,June,HolidayFlat
Recreation,Fano,Car,May,HolidayFlat
Recreation,Fano,Car,July,HolidayFlat
Bathing,Lolland,Car,August,HolidayFlat
Bathing,Lolland,Car,July,HolidayFlat
Recreation,Lolland,Car,September,HolidayFlat
Recreation,Allgaeu,Car,June,TwoStars
Wandering,Allgaeu,Car,July,TwoStars
Recreation,Allgaeu,Car,August,ThreeStars
Wandering,Allgaeu,Train,July,ThreeStars
Active,Allgaeu,Car,June,FiveStars
Wandering,Allgaeu,Car,September,FiveStars
Recreation,Allgaeu,Train,August,HolidayFlat
Active,Allgaeu,Car,July,HolidayFlat
Wandering,Allgaeu,Car,June,HolidayFlat
Wandering,Allgaeu,Car,July,HolidayFlat
Recreation,Alps,Car,June,TwoStars
Wandering,Alps,Car,July,TwoStars
Recreation,Alps,Car,August,ThreeStars
Recreation,Alps,Car,June,ThreeStars
Active,Alps,Train,September,ThreeStars
Recreation,Alps,Car,July,FourStars
Recreation,Alps,Car,August,FourStars
Wandering,Alps,Car,July,FourStars
Recreation,Alps,Car,June,HolidayFlat
Recreation,Alps,Train,August,HolidayFlat
Recreation,Bavaria,Car,September,HolidayFlat
Recreation,Bavaria,Car,May,HolidayFlat
Recreation,Bavaria,Train,July,HolidayFlat
