StockCode,frequency,monetary,first_date,last_date
10002,73,759.89,01-03-2011 14:14,31-01-2011 15:36
10080,24,119.09,01-08-2011 12:28,30-06-2011 15:56
10120,30,40.53,02-08-2011 15:40,30-11-2011 11:48
10125,94,994.84,01-07-2011 12:33,31-03-2011 13:14
10133,200,1540.02,01-03-2011 10:19,31-08-2011 15:32
10134,1,0,05-04-2011 17:04,05-04-2011 17:04
10135,180,2206.14,01-02-2011 10:56,31-10-2011 16:24
11001,120,2152.39,01-07-2011 11:29,31-10-2011 14:41
15030,14,41.47,01-07-2011 13:02,30-10-2011 11:49
15034,142,731.73,01-03-2011 16:22,30-11-2011 15:13
15036,524,18064.16,01-02-2011 11:40,31-10-2011 14:41
15039,149,1957.39,01-12-2011 16:22,31-10-2011 14:41
16008,71,360.71,01-06-2011 14:57,30-11-2011 14:05
16010,4,3.6,01-04-2011 11:47,28-03-2011 14:27
16011,47,372.33,01-06-2011 15:28,31-03-2011 11:25
16012,37,261.24,01-07-2011 11:29,30-03-2011 16:52
16014,54,4335.76,01-12-2010 12:15,30-11-2011 14:05
16015,27,289.98,03-10-2011 15:52,30-10-2011 11:49
16016,65,1053.45,01-02-2011 10:14,31-10-2011 08:56
16033,5,100.8,12-12-2010 10:48,23-01-2011 15:16
16043,3,11.76,07-06-2011 10:44,10-06-2011 09:22
16045,71,380,02-08-2011 10:24,31-10-2011 11:40
16046,18,57.8,02-02-2011 17:06,31-08-2011 17:16
16048,69,205.42,01-11-2011 12:45,31-08-2011 17:16
16049,7,82.08,05-05-2011 13:56,26-05-2011 15:21
16052,14,115.3,05-05-2011 15:47,26-01-2011 12:29
16053,1,0,23-05-2011 15:32,23-05-2011 15:32
16054,34,127.56,03-11-2011 13:50,31-07-2011 11:45
16216,45,234,01-02-2011 15:12,29-09-2011 11:39
16218,64,283.31,01-06-2011 17:28,31-03-2011 16:28
16219,101,404.84,01-04-2011 14:45,31-10-2011 14:41
16225,104,691.85,01-12-2011 12:53,31-05-2011 14:34
16235,170,702.75,01-03-2011 16:34,31-10-2011 14:41
16236,136,320.09,01-12-2010 14:32,31-10-2011 14:41
16237,298,1035.96,01-06-2011 17:18,31-10-2011 14:41
16238,136,322.09,01-12-2010 11:45,31-10-2011 14:41
16254,18,42.58,02-08-2011 16:14,30-11-2011 14:17
16259,33,317.92,01-07-2011 13:17,30-10-2011 13:37
17001,1,20.88,28-02-2011 14:48,28-02-2011 14:48
17003,245,5863.59,01-02-2011 13:47,31-10-2011 14:41
17021,57,643.14,01-02-2011 08:23,30-10-2011 12:14
17038,34,158.06,01-09-2011 14:26,30-08-2011 12:40
17096,26,455.98,01-02-2011 08:23,30-03-2011 11:12
17174,3,3.78,16-01-2011 13:04,24-11-2011 15:01
18007,32,395.61,04-03-2011 10:24,31-05-2011 11:39
20615,97,466.99,01-03-2011 14:14,31-10-2011 14:41
20616,71,243.53,01-06-2011 17:33,31-10-2011 14:41
20617,43,194.94,01-02-2011 11:51,30-01-2011 13:51
20618,76,286.39,01-03-2011 14:14,31-10-2011 11:59
20619,99,439.65,01-02-2011 11:51,31-10-2011 14:09
20622,52,305.8,01-12-2010 14:32,29-06-2011 15:58
20652,84,350.61,01-06-2011 17:18,31-10-2011 14:41
20653,33,95.18,01-12-2010 17:06,30-06-2011 15:56
20654,50,193.59,01-02-2011 08:31,31-10-2011 14:41
20655,99,292.29,01-03-2011 11:48,31-10-2011 14:41
20657,33,105.91,01-02-2011 11:51,28-07-2011 15:36
20658,110,638.36,01-02-2011 08:31,30-01-2011 11:01
20659,65,248.09,02-06-2011 09:37,31-10-2011 14:41
20661,33,141.15,01-08-2011 16:07,31-10-2011 14:09
20662,20,90.42,01-02-2011 10:56,30-06-2011 15:56
20663,20,66.26,03-05-2011 16:09,29-06-2011 15:58
20664,19,81.66,02-08-2011 16:11,30-08-2011 10:39
20665,159,1546.27,01-02-2011 13:25,31-10-2011 14:41
20666,18,41.53,04-03-2011 10:39,30-06-2011 15:56
